,title,abstract,categories,created,authors
10,"Olsson.wl : a Mathematica package for the computation of linear
  transformations of multivariable hypergeometric functions","We present the Olsson.wl Mathematica package which aims to find linear
transformations for some classes of multivariable hypergeometric functions. It
is based on a well-known method developed by P. O. M. Olsson in J. Math. Phys.
5, 420 (1964) in order to derive the analytic continuations of the Appell $F_1$
double hypergeometric series from the linear transformations of the Gauss
$_2F_1$ hypergeometric function. We provide a brief description of Olsson's
method and demonstrate the commands of the package, along with examples. We
also provide a companion package, called ROC2.wl and dedicated to the
derivation of the regions of convergence of double hypergeometric series. This
package can be used independently of Olsson.wl.","['cs.MS', 'cs.NA', 'hep-ph', 'hep-th', 'math.NA']",2021-12-31,"['B. Ananthanarayan', 'Souvik Bera', 'S. Friot', 'Tanay Pathak']"
11,Synchronization of Complex Network Systems with Stochastic Disturbances,"We study the robustness of the synchronization of coupled phase oscillators.
When fluctuations of phase differences in lines caused by disturbance exceed a
certain threshold, the state cannot return to synchrony thus leading to
desynchronization. Our main result is the deviation of explicit formulas of a
variance matrix that characterizes the severity of these fluctuations. We
highlight the utility of these results in two general problems: vulnerable line
identification and network design. We find that the vulnerability of lines can
be encoded by the cycle space of graphs. It is analytically shown that a line
in large-size cycles is more vulnerable than those in small-size cycles and
adding a new line or increasing coupling strength of a line reduces the
vulnerability of the lines in any cycle including this line, while it does not
affect the vulnerability of the other lines.","['nlin.AO', 'cs.SY', 'eess.SY']",2021-12-31,"['Kaihua Xi', 'Zhen Wang', 'Aijie Cheng', 'Hai Xiang Lin', 'Jan H. van Schuppen', 'Chenghui Zhang']"
12,"Modelling the behavior of human crowds with interacting particle systems
  in active-passive population dynamics","The modelling of human crowd behaviors offers many challenging questions to
science in general. Specifically, the social human behavior consists of many
physiological and psychological processes which are still largely unknown. To
model reliably such human crowd systems with complex social interactions,
stochastic tools play an important role for the setting of mathematical
formulations of the problems. In this work, using the description based on an
exclusion principle, we study a statistical-mechanics-based lattice gas model
for active-passive population dynamics with an application to human crowd
behaviors. We provide representative numerical examples for the evacuation
dynamics of human crowds, where the main focus in our considerations is given
to an interacting particle system of active and passive human groups.
Furthermore, our numerical results show that the communication between active
and passive humans strongly influences the evacuation time of the whole
population even when the ""faster-is-slower"" phenomenon is taken into account.
Finally, to provide an additional inside into the problem, a stationary state
of our model is analyzed via current representations and heat map techniques.",['physics.soc-ph'],2021-12-31,"['Thi Kim Thoa Thieu', 'Roderick Melnik']"
13,"Entering voltage hysteresis in phase separating materials: revealing the
  thermodynamic origin of a newly discovered phenomenon and its impact on the
  electric response of a battery","Hysteresis is a general phenomenon regularly observed in measurements of
various materials properties such as magnetism, elasticity, capillary pressure,
adsorption, battery voltage etc. Usually, the hysteretic behaviour is an
intrinsic property that cannot be avoided or circumvented in dynamic operation
of the system. Here we show, however, that at least as regards the hysteretic
behaviour of phase-separating battery materials, one can enter (deeply) into
the hysteretic loop in specific, yet realistic, transient operating conditions.
Within the hysteretic loop a (significant) portion of particle population
resides in an intraparticle phase separated state. Interestingly, the
transition to the more conventional interparticle phase separation state found
outside the hysteretic loop is very slow. Further, we establish a direct
interrelation between the intraparticle phase separated electrode state and
altered electric response of the electrode, which significantly impacts DC and
AC characteristics of the battery. The experimental evidence of entering the
hysteretic loop and the resulting altered response of the battery are explained
based on thermodynamic reasoning, advanced modelling and insightful
experiments. We believe that the understanding of this phenomenon will help
optimise the diagnostics and monitoring of batteries, while also providing
pertinent motivation for the enhancement of battery design and performance.","['cond-mat.mtrl-sci', 'cond-mat.soft', 'physics.chem-ph']",2021-12-31,"['Tomaz Katrasnik', 'Joze Moskon', 'Klemen Zelic', 'Igor Mele', 'Francisco Ruiz-Zepeda', 'Miran Gaberscek']"
14,"Sustainable and green synthesis of hydrogen tungsten bronze
  nanoparticles with nanocarbon via mechanically induced hydrogen spillover","In this study, we demonstrate sustainable and green nanotechnology for
room-temperature synthesis of H$_x$WO$_3$ ($0<x<0.5$) via a novel reaction
pathway induced by mechanical energy. A simple mixture of monoclinic WO$_3$
powder and polyolefin (polypropylene) is used to obtain H$_x$WO$_3$
nanoparticles that show high crystallinity even through high-energy ball
milling synthesis. The composite of H$_x$WO$_3$ nanoparticles and nanocarbon
by-products exhibit unique optoelectronic properties along with outstanding
enhancement of photocatalytic performance in the decomposition of azo-dye water
pollutants under visible light. The formation mechanism of the obtained
functional material is also discussed. The findings of this study provide
insights into the limitations for mass production of H$_x$WO$_3$ nanoparticles,
such as a specific setup for electrochemical reactions and precious metal
catalysis.",['cond-mat.mtrl-sci'],2021-12-31,"['Kunihiko Kato', 'Takafumi Sudo', 'Yunzi Xin', 'Takashi Shirai']"
15,Radon Emanation from Dust of Varying Composition and Size,"$^{222}Rn$ emanating from environmental dust constitutes an important
background component for many low-energy, low-rate experiments. Radon emanation
rates from dust and rock, thus, are important for experiment planning. In this
paper, we report measured radon emanation fractions (defined here as the ratio
of the transient to the total radon progeny activity of a sample) for five
types of dust differing in grain size and composition. This data was obtained
using high-purity germanium detectors (HPGe), measuring emanated and
non-emanated $^{222}Rn$ progeny activities and their temporal change. The range
of observed radon emanation fractions ranges from $3.5 \pm 1.9\%$ and $16.1 \pm
0.84\%$. The impact of the water, contained in the dust, might have on the
emanation fraction was evaluated and found to be small. The data presented here
do not show a clear correlation between dust particle size and emanation
fraction, as hypothesized when starting this study. Our measurement results are
compared to expectations of radon emanation models.","['physics.ins-det', 'hep-ex']",2021-12-31,"['Yue Meng', 'Jerry Busenitz', 'Andreas Piepke', 'Raymond Tsang', 'Mengmeng Wu', 'Yukun Yao']"
16,"Partition functions and entanglement entropy: Weyl graviton and
  conformal higher spin fields","We establish the relation of partition functions of conformal higher spin
fields on Weyl equivalent spaces in $d=4$ dimension. We express the partition
function of Weyl graviton and conformal higher spin fields as an integral over
characters on $S^1\times AdS_3$, $S^4$, and $AdS_4$. We observe that the
partition function of conformal higher spins on hyperbolic cylinders differs
from the partition function on $S^4$ by the `edge' contribution. The
logarithmic coefficient obtained from the character integral of the partition
function of conformal higher spins on $AdS_4$ is the half of that obtained from
the partition function on $S^4$. We evaluate the entanglement entropy and the
conformal dimension of the twist operator from the partition function on the
hyperbolic cylinder. The conformal dimension of the co-dimension two twist
operator enables us to find a linear relation between Hofman-Maldacena
variables which we use to show the non-unitarity of the theory. We observe that
the spectrum of the quasinormal modes of conformal higher spins obtained from
the bulk character contains additional distinct states compared to the spectrum
of unitary massless higher spin fields.",['hep-th'],2021-12-31,['Jyotirmoy Mukherjee']
17,"Revisiting the constraints on primordial black hole abundance with the
  isotropic gamma ray background","We revisit the constraints on primordial black holes (PBHs) in the mass range
$10^{13}-10^{18}$ g by comparing the 100\,keV-5\,GeV gamma-ray background with
isotropic flux from PBH Hawking radiation (HR). We investigate three effects
that may update the constraints on the PBH abundance; i) reliably calculating
the secondary spectra of HR for energy below 5\,GeV, ii) the contributions to
the measured isotropic flux from the Galactic PBH HR and that from annihilation
radiation due to evaporated positrons, iii) inclusion of astrophysical
background from gamma-ray sources. The conservative constraint is significantly
improved by more than an order of magnitude at $2\times10^{16}$g$\lesssim
M\lesssim 10^{17}$g over the past relevant work, where the effect ii is
dominant. After further accounting for the astrophysical background, more than
a tenfold improvement extends to a much wider mass range $10^{15}$g$\lesssim
M\lesssim 2\times 10^{17}$g.","['astro-ph.CO', 'astro-ph.HE', 'hep-ph']",2021-12-31,"['Siyu Chen', 'Hong-Hao Zhang', 'Guangbo Long']"
18,"Non-local triple quantum dot thermometer based on Coulomb-coupled
  systems","Recent proposals towards non-local thermoelectric voltage-based thermometry,
in the conventional dual quantum dot set-up, demand an asymmetric step-like
system-to-reservoir coupling around the ground states for optimal operation
(Physica E, 114, 113635, 2019). In addition to such demand for unrealistic
coupling, the sensitivity in such a strategy also depends on the average
measurement terminal temperature, which may result in erroneous temperature
assessment. In this paper, I propose non-local current based thermometry in the
dual dot set-up as a practical alternative and demonstrate that in the regime
of high bias, the sensitivity remains robust against fluctuations of the
measurement terminal temperature. Proceeding further, I propose a non-local
triple quantum dot thermometer, that provides an enhanced sensitivity while
bypassing the demand for unrealistic step-like system-to-reservoir coupling and
being robust against fabrication induced variability in Coulomb coupling. In
addition, I show that the heat extracted from (to) the target reservoir, in the
triple dot design, can also be suppressed drastically by appropriate
fabrication strategy, to prevent thermometry induced drift in reservoir
temperature. The proposed triple dot setup thus offers a multitude of benefits
and could potentially pave the path towards the practical realization and
deployment of high-performance non-local ``sub-Kelvin range"" thermometers.","['cond-mat.mes-hall', 'physics.app-ph']",2021-12-31,['Aniket Singha']
19,"Using Neural Networks to Perform Rapid High-Dimensional Kilonova
  Parameter Inference","On the 17th of August, 2017 came the simultaneous detections of GW170817, a
gravitational wave that originated from the coalescence of two neutron stars,
along with the gamma-ray burst GRB170817A, and the kilonova counterpart
AT2017gfo. Since then, there has been much excitement surrounding the study of
neutron star mergers, both observationally, using a variety of tools, and
theoretically, with the development of complex models describing the
gravitational-wave and electromagnetic signals. In this work, we improve upon
our pipeline to infer kilonova properties from observed light-curves by
employing a Neural-Network framework that reduces execution time and handles
much larger simulation sets than previously possible. In particular, we use the
radiative transfer code POSSIS to construct 5-dimensional kilonova grids where
we employ different functional forms for the angular dependence of the
dynamical ejecta component. We find that incorporating an angular dependence
improves the fit to the AT2017gfo light-curves by up to ~50% when quantified in
terms of the weighted Mean Square Error.",['astro-ph.HE'],2021-12-31,"['Mouza Almualla', 'Yuhong Ning', 'Mattia Bulla', 'Tim Dietrich', 'Michael W. Coughlin', 'Nidhal Guessoum']"
20,General Covariance from the Viewpoint of Stacks,"General covariance is a crucial notion in the study of field theories in
curved spacetime. A field theory defined with respect to a semi-Riemannian
metric is generally covariant if two metrics which are related by a
diffeomorphism produce equivalent physics. From a purely mathematical
perspective, this suggest that we try to understand the quotient stack of
metrics modulo diffeomorphism. We'll use the language of groupoids to do this
concretely. Then we'll inspect the tangent complex of this stack at a fixed
metric, which when shifted up by one defines a differential graded Lie algebra.
By considering the action of this Lie algebra on the observables for the
Batalin-Vilkovisky free scalar field theory, we recover a novel expression of
the stress-energy tensor for that example. We'll describe how this construction
nicely encapsulates but also broadens the usual presentation in the physics
literature and discuss applications of the formalism.","['math-ph', 'hep-th', 'math.DG', 'math.MP']",2021-12-31,['Filip Dul']
21,"Diagnostics of hot electrons leaving the ECR plasma sustained by the
  high-power gyrotron","Energy distribution of electrons in the plasma sustained by the
electron-cyclotron resonance (ECR) discharge has a complicated shape as a
function of various parameters that still remains unknown. Meanwhile, it is an
important plasma characteristic. Some methods and approaches give the
possibility to estimate or measure the properties of the distributions of the
electrons lost from the plasma. One of them, similar to the ion mass
spectrometry, was used in this work to obtain such distributions in the
non-classical continuous ECR ion source with high (up to $ 50-100$ W/cm$ ^ 3 $)
energy input for the first time along with bremsstrahlung spectra. For certain
parameters, a threshold-like regime was discovered, which comprised of the
bursts of energetic electrons, bremsstrahlung and, supposedly, the development
of kinetic instabilities.",['physics.plasm-ph'],2021-12-31,"['Elena Kiseleva', 'Ivan Izotov', 'Vadim Skalyga']"
22,"Meson structure on the light-front III : The Hamiltonian, heavy
  quarkonia, spin and orbit mixing","This is the third paper on hadronic light front wave functions (LFWFs). We
derive a light front Hamiltonian from first principles, using the key features
of the QCD vacuum at low resolution. In the first approximation, it gives
transverse oscillator and longitudinal harmonic modes, and yields the correct
Regge trajectories. For heavy quarkonia, we compare its spectrum to that
obtained from the usual Schroedinger equation in the rest frame. We use the
same approach for light quarks, and investigate the role of confinement and
chiral symmetry breaking in the quark-antiquark sector. We then study spin-spin
and spin-orbit mixing, resulting in e.g. quadrupole moments of vector mesons.
For the light mesons, we show how to extend the famed t$^\prime$Hooft
interaction to the light front, which solves the U(1) problem and helps produce
a light pion. We use the ensuing light front wavefunctions, to derive the
pertinent parton distribution functions, parton amplitudes and low energy
constants.","['hep-ph', 'hep-lat', 'nucl-th']",2021-12-31,"['Edward Shuryak', 'Ismail Zahed']"
23,"Analytic solutions of relativistic dissipative spin hydrodynamics with
  radial expansion in Gubser flow","We have derived the analytic solutions of dissipative relativistic spin
hydrodynamics with Gubser expansion. Following the standard strategy of
deriving the solutions in a Gubser flow, we take the Weyl rescaling and obtain
the energy-momentum and angular momentum conversation equations in the
$dS_{3}\otimes\mathbb{R}$ space-time. We then derive the analytic solutions of
spin density, spin potential and other thermodynamic in
$dS_{3}\otimes\mathbb{R}$ space-time and transform them back into Minkowski
space-time $\mathbb{R}^{3,1}$. In the Minkowski space-time, the spin density
and spin potential including the information of radial expansion decay as
$\sim\tau^{-1}$ and $\sim\tau^{-1/3}$, with $\tau$ being proper time,
respectively. Surprisingly,in a Gubser flow the spin potential decays slower
than thermal vorticity and shear tensor. It implies that the evolution of spin
potential may be important in the future studies of spin polarization.
Moreover, we observe the non-vanishing spin corrections to the energy density
and other dissipative terms in the Belinfante form of dissipative spin
hydrodynamics. Our results can also be used as test beds for future simulations
of relativistic dissipative spin hydrodynamics.","['hep-ph', 'nucl-th']",2021-12-31,"['Dong-Lin Wang', 'Xin-Qing Xie', 'Shuo Fang', 'Shi Pu']"
24,"The conditional measures for the determinantal point process with the
  Bergman kernel","This note gives an explicit description of conditional measures for the
determinantal point process with the Bergman kernel.","['math.PR', 'math-ph', 'math.DS', 'math.FA', 'math.MP']",2021-12-31,['Alexander I. Bufetov']
25,Revocation and Reconstruction of Shared Quantum Secrets,"In Quantum secret sharing we can share both quantum and classical secrets
with a quantum resource. In this article we study the problem of revocation of
quantum secret shared by the dealer with two shareholders in a three party
scenario. In the existing secret sharing protocols there are no means by which
the dealer can retrieve back the secret once he/she finds all the share holders
to be dishonest. Our protocol makes a significant advancement in solving this
problem by designing strategy in bringing back the secret in the worst possible
situation when all the shareholders/receivers are dishonest . In our proposed
strategy the dealer also possesses a quantum share of the secret which empowers
the dealer to bring back the secret even after sharing is done. However the
protocol along with the revocation process also ensures the normal
reconstruction at the share holder's location when they are honest. This
advantage comes with the expense of extra one qubit on dealer's side and
consequently we require a four qubit resource to start with for 1-dealer and
2-share holder's scenario. Here in this article we not only give the
description of our protocol but also give an example where our protocol is
working with the help of a four qubit entangled state. We also explicitly found
out the range of parameter for the input state for which the protocol will be
successful.",['quant-ph'],2021-12-31,"['P. Mudholkar', 'V. Chiranjeevi', 'I. Chakrabarty', 'K. Srinathan']"
26,Estimating the spectral density of unstable scars,"In quantum chaos, spectral statistics generally follows the predictions of
Random Matrix Theory (RMT). A notable exception is given by scar states, that
enhance probability density around unstable periodic orbits of the classical
system, therefore causing significant deviations of the spectral density from
RMT expectations. In this work, the problem is considered of both RMT-ruled and
scarred chaotic systems coupled to an opening. In particular, predictions are
derived for the spectral density of a chaotic Hamiltonian scattering into a
single- or multiple channels. The results are tested on paradigmatic quantum
chaotic maps on a torus. The present report develops the intuitions previously
sketched in [D. Lippolis, EPL 126 (2019) 10003].","['nlin.CD', 'physics.optics', 'quant-ph']",2021-12-31,['Domenico Lippolis']
27,Vertex-based Diagrammatic Treatment of Light-Matter-Coupled Systems,"We propose a diagrammatic Monte Carlo approach for general spin-boson models,
which can be regarded as a generalization of the strong-coupling expansion for
fermionic impurity models. The algorithm is based on a self-consistently
computed three-point vertex and a stochastically sampled four-point vertex, and
achieves convergence to the numerically exact result in a wide parameter
regime. The performance of the algorithm is demonstrated with applications to a
spin-boson model representing an emitter in a waveguide. As a function of the
coupling strength, the spin exhibits a delocalization-localization crossover at
low temperatures, signaling a qualitative change in the real-time relaxation.
In certain parameter regimes, the response functions of the emitter coupled to
the electromagnetic continuum can be described by an effective Rabi model with
appropriately defined parameters. We also discuss the spatial distribution of
the photon density around the emitter.",['cond-mat.str-el'],2021-12-31,"['Aaram J. Kim', 'Katharina Lenk', 'Jiajun Li', 'Philipp Werner', 'Martin Eckstein']"
28,"Topological states in superlattices of HgTe-class materials for
  engineering three-dimensional flat bands","In search of materials with three-dimensional flat band dispersions, using
{\em ab-initio} computations, we investigate how topological phases evolve as a
function of hydrostatic pressure and uniaxial strain in two types of
superlattices: HgTe/CdTe and HgTe/HgSe. In short-period HgTe/CdTe
superlattices, our analysis unveils the presence of isoenergetic nodal lines,
which could host strain-induced three-dimensional flat bands at the Fermi level
without requiring doping, when fabricated, for instance, as core-shell
nanowires. In contrast, HgTe/HgSe short-period superlattices are found to
harbor a rich phase diagram with a plethora of topological phases. Notably, the
unstrained superlattice realizes an ideal Weyl semimetal with Weyl points
situated at the Fermi level. A small-gap topological insulator with multiple
band inversions can be obtained by tuning the volume: under compressive
uniaxial strain, the material transitions sequentially into a Dirac semimetal
to a nodal-line semimetal, and finally into a topological insulator with a
single band inversion.","['cond-mat.mtrl-sci', 'cond-mat.mes-hall']",2021-12-31,"['Rajibul Islam', 'Barun Ghosh', 'Giuseppe Cuono', 'Alexander Lau', 'Wojciech Brzezicki', 'Arun Bansil', 'Amit Agarwal', 'Bahadur Singh', 'Tomasz Dietl', 'Carmine Autieri']"
29,ArH+ and H2O+ absorption towards luminous galaxies,"Along several sight lines within the Milky Way ArH+ has been ubiquitously
detected with only one detection in extragalactic environments, namely along
two sight lines in the red shift z=0.89 absorber towards the lensed blazar PKS
1830-211. Being formed in predominantly atomic gas by reactions between Ar+,
which were initially ionised by cosmic rays and molecular hydrogen, ArH+ has
been shown to be an excellent tracer of atomic gas as well as the impinging
cosmic-ray ionisation rates. In this work, we attempt to extend the
observations of ArH+in extragalactic sources to examine its use as a tracer of
the atomic interstellar medium (ISM) in these galaxies. We report the detection
of ArH+ towards two luminous nearby galaxies, NGC 253 and NGC 4945, and the
non-detection towards Arp 220 observed using the SEPIA660 receiver on the APEX
12 m telescope. In addition, the two sidebands of this receiver allowed us to
observe the NKaKc=1_1,0-1_0,1 transitions of another atomic gas tracer p-H2O+
at 607.227 GHz with the ArH+ line, simultaneously. We modelled the optically
thin spectra of both species and compared their observed line profiles with
that of other well-known atomic gas tracers such as OH+ and o-H2O+ and diffuse
and dense molecular gas tracers HF and CO, respectively. By further assuming
that the observed absorption from the ArH+, OH+, and H2O+ molecules are
affected by the same flux of cosmic rays, we investigate the properties of the
different cloud layers based on a steady-state analysis of the chemistry of
these three species.",['astro-ph.GA'],2021-12-31,"['Arshia M. Jacob', 'Karl M. Menten', 'Friedrich Wyrowski', 'Benjamin Winkel', 'David A. Neufeld', 'Baerbel S. Koribalski']"
