,abstract,Field
10,"We present the Olsson.wl Mathematica package which aims to find linear
transformations for some classes of multivariable hypergeometric functions. It
is based on a well-known method developed by P. O. M. Olsson in J. Math. Phys.
5, 420 (1964) in order to derive the analytic continuations of the Appell $F_1$
double hypergeometric series from the linear transformations of the Gauss
$_2F_1$ hypergeometric function. We provide a brief description of Olsson's
method and demonstrate the commands of the package, along with examples. We
also provide a companion package, called ROC2.wl and dedicated to the
derivation of the regions of convergence of double hypergeometric series. This
package can be used independently of Olsson.wl.",0
11,"We study the robustness of the synchronization of coupled phase oscillators.
When fluctuations of phase differences in lines caused by disturbance exceed a
certain threshold, the state cannot return to synchrony thus leading to
desynchronization. Our main result is the deviation of explicit formulas of a
variance matrix that characterizes the severity of these fluctuations. We
highlight the utility of these results in two general problems: vulnerable line
identification and network design. We find that the vulnerability of lines can
be encoded by the cycle space of graphs. It is analytically shown that a line
in large-size cycles is more vulnerable than those in small-size cycles and
adding a new line or increasing coupling strength of a line reduces the
vulnerability of the lines in any cycle including this line, while it does not
affect the vulnerability of the other lines.",0
12,"The modelling of human crowd behaviors offers many challenging questions to
science in general. Specifically, the social human behavior consists of many
physiological and psychological processes which are still largely unknown. To
model reliably such human crowd systems with complex social interactions,
stochastic tools play an important role for the setting of mathematical
formulations of the problems. In this work, using the description based on an
exclusion principle, we study a statistical-mechanics-based lattice gas model
for active-passive population dynamics with an application to human crowd
behaviors. We provide representative numerical examples for the evacuation
dynamics of human crowds, where the main focus in our considerations is given
to an interacting particle system of active and passive human groups.
Furthermore, our numerical results show that the communication between active
and passive humans strongly influences the evacuation time of the whole
population even when the ""faster-is-slower"" phenomenon is taken into account.
Finally, to provide an additional inside into the problem, a stationary state
of our model is analyzed via current representations and heat map techniques.",0
13,"Hysteresis is a general phenomenon regularly observed in measurements of
various materials properties such as magnetism, elasticity, capillary pressure,
adsorption, battery voltage etc. Usually, the hysteretic behaviour is an
intrinsic property that cannot be avoided or circumvented in dynamic operation
of the system. Here we show, however, that at least as regards the hysteretic
behaviour of phase-separating battery materials, one can enter (deeply) into
the hysteretic loop in specific, yet realistic, transient operating conditions.
Within the hysteretic loop a (significant) portion of particle population
resides in an intraparticle phase separated state. Interestingly, the
transition to the more conventional interparticle phase separation state found
outside the hysteretic loop is very slow. Further, we establish a direct
interrelation between the intraparticle phase separated electrode state and
altered electric response of the electrode, which significantly impacts DC and
AC characteristics of the battery. The experimental evidence of entering the
hysteretic loop and the resulting altered response of the battery are explained
based on thermodynamic reasoning, advanced modelling and insightful
experiments. We believe that the understanding of this phenomenon will help
optimise the diagnostics and monitoring of batteries, while also providing
pertinent motivation for the enhancement of battery design and performance.",0
14,"In this study, we demonstrate sustainable and green nanotechnology for
room-temperature synthesis of H$_x$WO$_3$ ($0<x<0.5$) via a novel reaction
pathway induced by mechanical energy. A simple mixture of monoclinic WO$_3$
powder and polyolefin (polypropylene) is used to obtain H$_x$WO$_3$
nanoparticles that show high crystallinity even through high-energy ball
milling synthesis. The composite of H$_x$WO$_3$ nanoparticles and nanocarbon
by-products exhibit unique optoelectronic properties along with outstanding
enhancement of photocatalytic performance in the decomposition of azo-dye water
pollutants under visible light. The formation mechanism of the obtained
functional material is also discussed. The findings of this study provide
insights into the limitations for mass production of H$_x$WO$_3$ nanoparticles,
such as a specific setup for electrochemical reactions and precious metal
catalysis.",0
15,"$^{222}Rn$ emanating from environmental dust constitutes an important
background component for many low-energy, low-rate experiments. Radon emanation
rates from dust and rock, thus, are important for experiment planning. In this
paper, we report measured radon emanation fractions (defined here as the ratio
of the transient to the total radon progeny activity of a sample) for five
types of dust differing in grain size and composition. This data was obtained
using high-purity germanium detectors (HPGe), measuring emanated and
non-emanated $^{222}Rn$ progeny activities and their temporal change. The range
of observed radon emanation fractions ranges from $3.5 \pm 1.9\%$ and $16.1 \pm
0.84\%$. The impact of the water, contained in the dust, might have on the
emanation fraction was evaluated and found to be small. The data presented here
do not show a clear correlation between dust particle size and emanation
fraction, as hypothesized when starting this study. Our measurement results are
compared to expectations of radon emanation models.",0
16,"We establish the relation of partition functions of conformal higher spin
fields on Weyl equivalent spaces in $d=4$ dimension. We express the partition
function of Weyl graviton and conformal higher spin fields as an integral over
characters on $S^1\times AdS_3$, $S^4$, and $AdS_4$. We observe that the
partition function of conformal higher spins on hyperbolic cylinders differs
from the partition function on $S^4$ by the `edge' contribution. The
logarithmic coefficient obtained from the character integral of the partition
function of conformal higher spins on $AdS_4$ is the half of that obtained from
the partition function on $S^4$. We evaluate the entanglement entropy and the
conformal dimension of the twist operator from the partition function on the
hyperbolic cylinder. The conformal dimension of the co-dimension two twist
operator enables us to find a linear relation between Hofman-Maldacena
variables which we use to show the non-unitarity of the theory. We observe that
the spectrum of the quasinormal modes of conformal higher spins obtained from
the bulk character contains additional distinct states compared to the spectrum
of unitary massless higher spin fields.",0
17,"We revisit the constraints on primordial black holes (PBHs) in the mass range
$10^{13}-10^{18}$ g by comparing the 100\,keV-5\,GeV gamma-ray background with
isotropic flux from PBH Hawking radiation (HR). We investigate three effects
that may update the constraints on the PBH abundance; i) reliably calculating
the secondary spectra of HR for energy below 5\,GeV, ii) the contributions to
the measured isotropic flux from the Galactic PBH HR and that from annihilation
radiation due to evaporated positrons, iii) inclusion of astrophysical
background from gamma-ray sources. The conservative constraint is significantly
improved by more than an order of magnitude at $2\times10^{16}$g$\lesssim
M\lesssim 10^{17}$g over the past relevant work, where the effect ii is
dominant. After further accounting for the astrophysical background, more than
a tenfold improvement extends to a much wider mass range $10^{15}$g$\lesssim
M\lesssim 2\times 10^{17}$g.",0
18,"Recent proposals towards non-local thermoelectric voltage-based thermometry,
in the conventional dual quantum dot set-up, demand an asymmetric step-like
system-to-reservoir coupling around the ground states for optimal operation
(Physica E, 114, 113635, 2019). In addition to such demand for unrealistic
coupling, the sensitivity in such a strategy also depends on the average
measurement terminal temperature, which may result in erroneous temperature
assessment. In this paper, I propose non-local current based thermometry in the
dual dot set-up as a practical alternative and demonstrate that in the regime
of high bias, the sensitivity remains robust against fluctuations of the
measurement terminal temperature. Proceeding further, I propose a non-local
triple quantum dot thermometer, that provides an enhanced sensitivity while
bypassing the demand for unrealistic step-like system-to-reservoir coupling and
being robust against fabrication induced variability in Coulomb coupling. In
addition, I show that the heat extracted from (to) the target reservoir, in the
triple dot design, can also be suppressed drastically by appropriate
fabrication strategy, to prevent thermometry induced drift in reservoir
temperature. The proposed triple dot setup thus offers a multitude of benefits
and could potentially pave the path towards the practical realization and
deployment of high-performance non-local ``sub-Kelvin range"" thermometers.",0
19,"On the 17th of August, 2017 came the simultaneous detections of GW170817, a
gravitational wave that originated from the coalescence of two neutron stars,
along with the gamma-ray burst GRB170817A, and the kilonova counterpart
AT2017gfo. Since then, there has been much excitement surrounding the study of
neutron star mergers, both observationally, using a variety of tools, and
theoretically, with the development of complex models describing the
gravitational-wave and electromagnetic signals. In this work, we improve upon
our pipeline to infer kilonova properties from observed light-curves by
employing a Neural-Network framework that reduces execution time and handles
much larger simulation sets than previously possible. In particular, we use the
radiative transfer code POSSIS to construct 5-dimensional kilonova grids where
we employ different functional forms for the angular dependence of the
dynamical ejecta component. We find that incorporating an angular dependence
improves the fit to the AT2017gfo light-curves by up to ~50% when quantified in
terms of the weighted Mean Square Error.",0
20,"General covariance is a crucial notion in the study of field theories in
curved spacetime. A field theory defined with respect to a semi-Riemannian
metric is generally covariant if two metrics which are related by a
diffeomorphism produce equivalent physics. From a purely mathematical
perspective, this suggest that we try to understand the quotient stack of
metrics modulo diffeomorphism. We'll use the language of groupoids to do this
concretely. Then we'll inspect the tangent complex of this stack at a fixed
metric, which when shifted up by one defines a differential graded Lie algebra.
By considering the action of this Lie algebra on the observables for the
Batalin-Vilkovisky free scalar field theory, we recover a novel expression of
the stress-energy tensor for that example. We'll describe how this construction
nicely encapsulates but also broadens the usual presentation in the physics
literature and discuss applications of the formalism.",0
21,"Energy distribution of electrons in the plasma sustained by the
electron-cyclotron resonance (ECR) discharge has a complicated shape as a
function of various parameters that still remains unknown. Meanwhile, it is an
important plasma characteristic. Some methods and approaches give the
possibility to estimate or measure the properties of the distributions of the
electrons lost from the plasma. One of them, similar to the ion mass
spectrometry, was used in this work to obtain such distributions in the
non-classical continuous ECR ion source with high (up to $ 50-100$ W/cm$ ^ 3 $)
energy input for the first time along with bremsstrahlung spectra. For certain
parameters, a threshold-like regime was discovered, which comprised of the
bursts of energetic electrons, bremsstrahlung and, supposedly, the development
of kinetic instabilities.",0
22,"This is the third paper on hadronic light front wave functions (LFWFs). We
derive a light front Hamiltonian from first principles, using the key features
of the QCD vacuum at low resolution. In the first approximation, it gives
transverse oscillator and longitudinal harmonic modes, and yields the correct
Regge trajectories. For heavy quarkonia, we compare its spectrum to that
obtained from the usual Schroedinger equation in the rest frame. We use the
same approach for light quarks, and investigate the role of confinement and
chiral symmetry breaking in the quark-antiquark sector. We then study spin-spin
and spin-orbit mixing, resulting in e.g. quadrupole moments of vector mesons.
For the light mesons, we show how to extend the famed t$^\prime$Hooft
interaction to the light front, which solves the U(1) problem and helps produce
a light pion. We use the ensuing light front wavefunctions, to derive the
pertinent parton distribution functions, parton amplitudes and low energy
constants.",0
23,"We have derived the analytic solutions of dissipative relativistic spin
hydrodynamics with Gubser expansion. Following the standard strategy of
deriving the solutions in a Gubser flow, we take the Weyl rescaling and obtain
the energy-momentum and angular momentum conversation equations in the
$dS_{3}\otimes\mathbb{R}$ space-time. We then derive the analytic solutions of
spin density, spin potential and other thermodynamic in
$dS_{3}\otimes\mathbb{R}$ space-time and transform them back into Minkowski
space-time $\mathbb{R}^{3,1}$. In the Minkowski space-time, the spin density
and spin potential including the information of radial expansion decay as
$\sim\tau^{-1}$ and $\sim\tau^{-1/3}$, with $\tau$ being proper time,
respectively. Surprisingly,in a Gubser flow the spin potential decays slower
than thermal vorticity and shear tensor. It implies that the evolution of spin
potential may be important in the future studies of spin polarization.
Moreover, we observe the non-vanishing spin corrections to the energy density
and other dissipative terms in the Belinfante form of dissipative spin
hydrodynamics. Our results can also be used as test beds for future simulations
of relativistic dissipative spin hydrodynamics.",0
24,"This note gives an explicit description of conditional measures for the
determinantal point process with the Bergman kernel.",0
25,"In Quantum secret sharing we can share both quantum and classical secrets
with a quantum resource. In this article we study the problem of revocation of
quantum secret shared by the dealer with two shareholders in a three party
scenario. In the existing secret sharing protocols there are no means by which
the dealer can retrieve back the secret once he/she finds all the share holders
to be dishonest. Our protocol makes a significant advancement in solving this
problem by designing strategy in bringing back the secret in the worst possible
situation when all the shareholders/receivers are dishonest . In our proposed
strategy the dealer also possesses a quantum share of the secret which empowers
the dealer to bring back the secret even after sharing is done. However the
protocol along with the revocation process also ensures the normal
reconstruction at the share holder's location when they are honest. This
advantage comes with the expense of extra one qubit on dealer's side and
consequently we require a four qubit resource to start with for 1-dealer and
2-share holder's scenario. Here in this article we not only give the
description of our protocol but also give an example where our protocol is
working with the help of a four qubit entangled state. We also explicitly found
out the range of parameter for the input state for which the protocol will be
successful.",0
26,"In quantum chaos, spectral statistics generally follows the predictions of
Random Matrix Theory (RMT). A notable exception is given by scar states, that
enhance probability density around unstable periodic orbits of the classical
system, therefore causing significant deviations of the spectral density from
RMT expectations. In this work, the problem is considered of both RMT-ruled and
scarred chaotic systems coupled to an opening. In particular, predictions are
derived for the spectral density of a chaotic Hamiltonian scattering into a
single- or multiple channels. The results are tested on paradigmatic quantum
chaotic maps on a torus. The present report develops the intuitions previously
sketched in [D. Lippolis, EPL 126 (2019) 10003].",0
27,"We propose a diagrammatic Monte Carlo approach for general spin-boson models,
which can be regarded as a generalization of the strong-coupling expansion for
fermionic impurity models. The algorithm is based on a self-consistently
computed three-point vertex and a stochastically sampled four-point vertex, and
achieves convergence to the numerically exact result in a wide parameter
regime. The performance of the algorithm is demonstrated with applications to a
spin-boson model representing an emitter in a waveguide. As a function of the
coupling strength, the spin exhibits a delocalization-localization crossover at
low temperatures, signaling a qualitative change in the real-time relaxation.
In certain parameter regimes, the response functions of the emitter coupled to
the electromagnetic continuum can be described by an effective Rabi model with
appropriately defined parameters. We also discuss the spatial distribution of
the photon density around the emitter.",0
28,"In search of materials with three-dimensional flat band dispersions, using
{\em ab-initio} computations, we investigate how topological phases evolve as a
function of hydrostatic pressure and uniaxial strain in two types of
superlattices: HgTe/CdTe and HgTe/HgSe. In short-period HgTe/CdTe
superlattices, our analysis unveils the presence of isoenergetic nodal lines,
which could host strain-induced three-dimensional flat bands at the Fermi level
without requiring doping, when fabricated, for instance, as core-shell
nanowires. In contrast, HgTe/HgSe short-period superlattices are found to
harbor a rich phase diagram with a plethora of topological phases. Notably, the
unstrained superlattice realizes an ideal Weyl semimetal with Weyl points
situated at the Fermi level. A small-gap topological insulator with multiple
band inversions can be obtained by tuning the volume: under compressive
uniaxial strain, the material transitions sequentially into a Dirac semimetal
to a nodal-line semimetal, and finally into a topological insulator with a
single band inversion.",0
29,"Along several sight lines within the Milky Way ArH+ has been ubiquitously
detected with only one detection in extragalactic environments, namely along
two sight lines in the red shift z=0.89 absorber towards the lensed blazar PKS
1830-211. Being formed in predominantly atomic gas by reactions between Ar+,
which were initially ionised by cosmic rays and molecular hydrogen, ArH+ has
been shown to be an excellent tracer of atomic gas as well as the impinging
cosmic-ray ionisation rates. In this work, we attempt to extend the
observations of ArH+in extragalactic sources to examine its use as a tracer of
the atomic interstellar medium (ISM) in these galaxies. We report the detection
of ArH+ towards two luminous nearby galaxies, NGC 253 and NGC 4945, and the
non-detection towards Arp 220 observed using the SEPIA660 receiver on the APEX
12 m telescope. In addition, the two sidebands of this receiver allowed us to
observe the NKaKc=1_1,0-1_0,1 transitions of another atomic gas tracer p-H2O+
at 607.227 GHz with the ArH+ line, simultaneously. We modelled the optically
thin spectra of both species and compared their observed line profiles with
that of other well-known atomic gas tracers such as OH+ and o-H2O+ and diffuse
and dense molecular gas tracers HF and CO, respectively. By further assuming
that the observed absorption from the ArH+, OH+, and H2O+ molecules are
affected by the same flux of cosmic rays, we investigate the properties of the
different cloud layers based on a steady-state analysis of the chemistry of
these three species.",0
30,"This work presents an analysis of a hidden charmed pentaquark candidate state
with double strange quark in its quark content. The investigation is performed
in two parts, which provide the mass prediction of the considered state and its
partial decay width for the $P_{css}\rightarrow \Xi^0 J/\psi$ channel. For the
analyses, two-point and three-point QCD sum rule methods are applied to get the
mass and the width, respectively. The mass for this candidate state is obtained
as $m_{P_{css}}=4600 \pm 155$~MeV with corresponding current coupling constant
$\lambda_{P_{css}}=(0.81 \pm 0.21)\times 10^{-3}$~GeV$^6$. These results are
used in the analysis of the partial width of this state for the decay
$P_{css}\rightarrow \Xi^0 J/\psi$. For this decay, the width is obtained as
$\Gamma=9.52\pm 2.85 $~MeV. These results may shed light on the future
experimental searches in which such types of states are probed and may provide
information to discriminate between such possible observations.",0
31,"It is generally accepted that the dynamical mean field theory (DMFT) gives a
good solution of the Holstein model, but only in dimensions greater than two.
Here we show that the DMFT, which becomes exact in the weak coupling and in the
atomic limit, provides an excellent numerically cheap approximate solution for
the spectral function of the Holstein model in the whole range of parameters
even in one dimension. To establish this, we made a detailed comparison with
the spectral functions that we obtained using newly developed momentum-space
numerically exact hierarchical equations of motion (HEOM) method, which yields
electronic correlation functions directly in real time. We crosschecked these
conclusions with our path integral quantum Monte Carlo results and with the
available numerically exact results from the literature.",0
32,"The opportunities afforded by near-term quantum computers to calculate the
ground-state properties of small molecules depend on the structure of the
computational ansatz as well as the errors induced by device noise. Here we
investigate the behavior of these noisy quantum circuits using numerical
simulations to estimate the accuracy and fidelity of the prepared quantum
states relative to the ground truth obtained by conventional means. We
implement several different types of ansatz circuits derived from unitary
coupled cluster theory for the purposes of estimating the ground-state energy
of Sodium Hydride using the variational quantum eigensolver algorithm. We show
how relative error in the energy and the fidelity scale with the levels of
gate-based noise, the inter-molecular configuration, the ansatz circuit depth,
and the parameter optimization methods.",0
33,"We explore the role of the dilaton field on higher derivative supergravity
within the framework of Double Field Theory and use it to fix the Lorentz non
covariant field redefinitions connecting the metric and dilaton fields with the
duality multiplets.",0
34,"The study of the Higgs boson properties offers compelling perspectives for
testing the effects of physics beyond the Standard Model and has deep
implications for the LHC program and future colliders. Accurate determinations
of the Higgs boson properties can provide us with a distinctively precise
picture of the Higgs sector, set tight bounds and predict ranges for the values
of new physics model parameters. In this paper, we discuss the constraints on
supersymmetry which can be derived by a determination of the Higgs boson mass
and couplings. We quantify these constraints by using scans of the 19-parameter
space of the so-called phenomenological minimal supersymmetric Standard Model.
The fraction of scan points that can be excluded by the Higgs measurements is
studied for the coupling measurement accuracies obtained in LHC Run 2 and
expected for the HL-LHC program and $e^+e^-$ colliders and contrasted with
those derived from missing transverse energy searches at the LHC and from dark
matter experiments.",0
35,"Controlling the evolution of nonequilibrium systems to minimize dissipated
heat or work is a key goal for designing nanodevices, both in nanotechnology
and biology. Progress in computing optimal protocols has thus far been limited
to either simple systems or near-equilibrium evolution. Here, we present an
approach for computing optimal protocols based on automatic differentiation.
Our methodology is applicable to complex systems and multidimensional protocols
and is valid arbitrarily far from equilibrium. We validate our method by
reproducing theoretical optimal protocols for a Brownian particle in a
time-varying harmonic trap. We also compute departures from near-equilibrium
behaviour for magnetization reversal on an Ising lattice and for barrier
crossing driven by a harmonic trap, which has been used to represent a range of
biological processes including biomolecular unfolding reactions. Algorithms
based on automatic differentiation outperform the near-equilibrium theory for
far-from-equilibrium magnetization reversal and driven barrier crossing. The
optimal protocol for crossing an energy landscape barrier of 10kT is found to
hasten the approach to, and slow the departure from, the barrier region
compared to the near-equilibrium theoretical protocol.",0
36,"One of the core questions of quantum physics is how to reconcile the unitary
evolution of quantum states, which is information-preserving and
time-reversible, with the second law of thermodynamics, which is neither. The
resolution to this paradox is to recognize that global unitary evolution of a
multi-partite quantum state causes the state of local subsystems to evolve
towards maximum-entropy states. In this work, we experimentally demonstrate
this effect in linear quantum optics by simultaneously showing the convergence
of local quantum states to a generalized Gibbs ensemble constituting a
maximum-entropy state under precisely controlled conditions, while using a new,
efficient certification method to demonstrate that the state retains global
purity. Our quantum states are manipulated by a programmable integrated
photonic quantum processor, which simulates arbitrary non-interacting
Hamiltonians, demonstrating the universality of this phenomenon. Our results
show the potential of photonic devices for quantum simulations involving
non-Gaussian states.",0
37,"Inference of causal relations from data now has become an important field in
artificial intelligence. During the past 16 years, causality analysis (in a
quantitative sense) has been developed independently in physics from first
principles. This short note is a brief summary of this line of work, including
part of the theory and several representative applications.",0
38,"In this work we conduct a numerical search of non-trivial mechanisms, leading
to new tendencies towards long-range ferromagnetic ordering in two-dimensional
materials. For this purpose we employ an original variant of pairwise
infinitesimal spin rotations technique to establish the magnetic transition
temperature as the rigid function of basic crystal's parameters. It favored the
numerical optimization of this function using modified genetic algorithm,
designed to harvest local extrema. It resulted in revealing the moderate
metallicity, accompanied by essential orbital anisotropy, as the prime
configuration, which provides the most favoring conditions to ferromagnetic
ordering, related to double-exchange and superexchange mechanisms.",0
39,"The conventional (numerical) Self-Consistent effective-mass approaches suffer
from convergence failure at ultra-low temperatures (below 4.2 K).
Discontinuities in material properties (e.g., effective-mass, electron
affinity, dielectric constant) can be regarded as the source of such a
shortcoming. This numerical convergence sensitivity limits the application of
Self-Consistent effective-mass approach to study quantum electronic devices
which often operate at ultra-low temperatures. In this article, we develop a
novel Self-Consistent approach based on Cell-Center Finite-Volume (FV-SC)
discretization of the effective-mass Sturm-Liouville Hamiltonian and
generalized Poisson's equation. We apply this approach to simulate the
one-dimensional electron gas (1DEG) formed at the Si-SiO2 interface via a top
gate. We find excellent Self-Consistent convergence from high to extreme low
(as low as 50 mK) temperatures. We further examine the solidity of FV-SC method
by changing external variables such as the electrochemical potential and the
accumulative top gate voltage. Finally, our approach allows for counting
electron-electron interactions and we find that the electron-electron
interactions can affect the subband properties of 1DEG significantly. Our
results demonstrate that our FV-SC approach is a powerful tool to solve
effective-mass Hamiltonian.",0
