,title,abstract,categories,created,authors
10,"A Deep Learning Approach to Integrate Human-Level Understanding in a
  Chatbot","In recent times, a large number of people have been involved in establishing
their own businesses. Unlike humans, chatbots can serve multiple customers at a
time, are available 24/7 and reply in less than a fraction of a second. Though
chatbots perform well in task-oriented activities, in most cases they fail to
understand personalized opinions, statements or even queries which later impact
the organization for poor service management. Lack of understanding
capabilities in bots disinterest humans to continue conversations with them.
Usually, chatbots give absurd responses when they are unable to interpret a
user's text accurately. Extracting the client reviews from conversations by
using chatbots, organizations can reduce the major gap of understanding between
the users and the chatbot and improve their quality of products and
services.Thus, in our research we incorporated all the key elements that are
necessary for a chatbot to analyse and understand an input text precisely and
accurately. We performed sentiment analysis, emotion detection, intent
classification and named-entity recognition using deep learning to develop
chatbots with humanistic understanding and intelligence. The efficiency of our
approach can be demonstrated accordingly by the detailed analysis.","['cs.CL', 'cs.LG']",2021-12-31,"['Afia Fairoose Abedin', 'Amirul Islam Al Mamun', 'Rownak Jahan Nowrin', 'Amitabha Chakrabarty', 'Moin Mostakim', 'Sudip Kumar Naskar']"
11,"InverseMV: Composing Piano Scores with a Convolutional Video-Music
  Transformer","Many social media users prefer consuming content in the form of videos rather
than text. However, in order for content creators to produce videos with a high
click-through rate, much editing is needed to match the footage to the music.
This posts additional challenges for more amateur video makers. Therefore, we
propose a novel attention-based model VMT (Video-Music Transformer) that
automatically generates piano scores from video frames. Using music generated
from models also prevent potential copyright infringements that often come with
using existing music. To the best of our knowledge, there is no work besides
the proposed VMT that aims to compose music for video. Additionally, there
lacks a dataset with aligned video and symbolic music. We release a new dataset
composed of over 7 hours of piano scores with fine alignment between pop music
videos and MIDI files. We conduct experiments with human evaluation on VMT,
SeqSeq model (our baseline), and the original piano version soundtrack. VMT
achieves consistent improvements over the baseline on music smoothness and
video relevance. In particular, with the relevance scores and our case study,
our model has shown the capability of multimodality on frame-level actors'
movement for music generation. Our VMT model, along with the new dataset,
presents a promising research direction toward composing the matching
soundtrack for videos. We have released our code at
https://github.com/linchintung/VMT","['cs.LG', 'cs.CV', 'cs.MM', 'cs.SD']",2021-12-31,"['Chin-Tung Lin', 'Mu Yang']"
12,"Dynamic Topological Data Analysis for Brain Networks via Wasserstein
  Graph Clustering","We present the novel Wasserstein graph clustering for dynamically changing
graphs. The Wasserstein clustering penalizes the topological discrepancy
between graphs. The Wasserstein clustering is shown to outperform the widely
used k-means clustering. The method applied in more accurate determination of
the state spaces of dynamically changing functional brain networks.","['math.AT', 'cs.LG', 'q-bio.NC']",2021-12-31,"['Moo K. Chung', 'Shih-Gu Huang', 'Ian C. Carroll', 'Vince D. Calhoun', 'H. Hill Goldsmith']"
13,SplitBrain: Hybrid Data and Model Parallel Deep Learning,"The recent success of deep learning applications has coincided with those
widely available powerful computational resources for training sophisticated
machine learning models with huge datasets. Nonetheless, training large models
such as convolutional neural networks using model parallelism (as opposed to
data parallelism) is challenging because the complex nature of communication
between model shards makes it difficult to partition the computation
efficiently across multiple machines with an acceptable trade-off. This paper
presents SplitBrain, a high performance distributed deep learning framework
supporting hybrid data and model parallelism. Specifically, SplitBrain provides
layer-specific partitioning that co-locates compute intensive convolutional
layers while sharding memory demanding layers. A novel scalable group
communication is proposed to further improve the training throughput with
reduced communication overhead. The results show that SplitBrain can achieve
nearly linear speedup while saving up to 67\% of memory consumption for data
and model parallel VGG over CIFAR-10.","['cs.LG', 'cs.CV', 'cs.DC']",2021-12-31,"['Farley Lai', 'Asim Kadav', 'Erik Kruus']"
14,Bayesian Optimization of Function Networks,"We consider Bayesian optimization of the output of a network of functions,
where each function takes as input the output of its parent nodes, and where
the network takes significant time to evaluate. Such problems arise, for
example, in reinforcement learning, engineering design, and manufacturing.
While the standard Bayesian optimization approach observes only the final
output, our approach delivers greater query efficiency by leveraging
information that the former ignores: intermediate output within the network.
This is achieved by modeling the nodes of the network using Gaussian processes
and choosing the points to evaluate using, as our acquisition function, the
expected improvement computed with respect to the implied posterior on the
objective. Although the non-Gaussian nature of this posterior prevents
computing our acquisition function in closed form, we show that it can be
efficiently maximized via sample average approximation. In addition, we prove
that our method is asymptotically consistent, meaning that it finds a globally
optimal solution as the number of evaluations grows to infinity, thus
generalizing previously known convergence results for the expected improvement.
Notably, this holds even though our method might not evaluate the domain
densely, instead leveraging problem structure to leave regions unexplored.
Finally, we show that our approach dramatically outperforms standard Bayesian
optimization methods in several synthetic and real-world problems.","['cs.LG', 'math.OC', 'stat.ML']",2021-12-31,"['Raul Astudillo', 'Peter I. Frazier']"
15,"Olsson.wl : a Mathematica package for the computation of linear
  transformations of multivariable hypergeometric functions","We present the Olsson.wl Mathematica package which aims to find linear
transformations for some classes of multivariable hypergeometric functions. It
is based on a well-known method developed by P. O. M. Olsson in J. Math. Phys.
5, 420 (1964) in order to derive the analytic continuations of the Appell $F_1$
double hypergeometric series from the linear transformations of the Gauss
$_2F_1$ hypergeometric function. We provide a brief description of Olsson's
method and demonstrate the commands of the package, along with examples. We
also provide a companion package, called ROC2.wl and dedicated to the
derivation of the regions of convergence of double hypergeometric series. This
package can be used independently of Olsson.wl.","['cs.MS', 'cs.NA', 'hep-ph', 'hep-th', 'math.NA']",2021-12-31,"['B. Ananthanarayan', 'Souvik Bera', 'S. Friot', 'Tanay Pathak']"
16,"A Critical Review of Inductive Logic Programming Techniques for
  Explainable AI","Despite recent advances in modern machine learning algorithms, the opaqueness
of their underlying mechanisms continues to be an obstacle in adoption. To
instill confidence and trust in artificial intelligence systems, Explainable
Artificial Intelligence has emerged as a response to improving modern machine
learning algorithms' explainability. Inductive Logic Programming (ILP), a
subfield of symbolic artificial intelligence, plays a promising role in
generating interpretable explanations because of its intuitive logic-driven
framework. ILP effectively leverages abductive reasoning to generate
explainable first-order clausal theories from examples and background
knowledge. However, several challenges in developing methods inspired by ILP
need to be addressed for their successful application in practice. For example,
existing ILP systems often have a vast solution space, and the induced
solutions are very sensitive to noises and disturbances. This survey paper
summarizes the recent advances in ILP and a discussion of statistical
relational learning and neural-symbolic algorithms, which offer synergistic
views to ILP. Following a critical review of the recent advances, we delineate
observed challenges and highlight potential avenues of further ILP-motivated
research toward developing self-explanatory artificial intelligence systems.",['cs.LG'],2021-12-31,"['Zheng Zhang', 'Levent Yilmaz', 'Bo Liu']"
17,"SurfGen: Adversarial 3D Shape Synthesis with Explicit Surface
  Discriminators","Recent advances in deep generative models have led to immense progress in 3D
shape synthesis. While existing models are able to synthesize shapes
represented as voxels, point-clouds, or implicit functions, these methods only
indirectly enforce the plausibility of the final 3D shape surface. Here we
present a 3D shape synthesis framework (SurfGen) that directly applies
adversarial training to the object surface. Our approach uses a differentiable
spherical projection layer to capture and represent the explicit zero
isosurface of an implicit 3D generator as functions defined on the unit sphere.
By processing the spherical representation of 3D object surfaces with a
spherical CNN in an adversarial setting, our generator can better learn the
statistics of natural shape surfaces. We evaluate our model on large-scale
shape datasets, and demonstrate that the end-to-end trained model is capable of
generating high fidelity 3D shapes with diverse topology.",['cs.CV'],2021-12-31,"['Andrew Luo', 'Tianqin Li', 'Wen-Hao Zhang', 'Tai Sing Lee']"
18,"Transformer Embeddings of Irregularly Spaced Events and Their
  Participants","We propose an approach to modeling irregularly spaced sequences of discrete
events. We begin with a continuous-time variant of the Transformer, which was
originally formulated (Vaswani et al., 2017) for sequences without timestamps.
We embed a possible event (or other boolean fact) at time $t$ by using
attention over the events that occurred at times $< t$ (and the facts that were
true when they occurred). We control this attention using pattern-matching
logic rules that relate events and facts that share participants. These rules
determine which previous events will be attended to, as well as how to
transform the embeddings of the events and facts into the attentional queries,
keys, and values. Other logic rules describe how to change the set of facts in
response to events. Our approach closely follows Mei et al. (2020a), and adopts
their Datalog Through Time formalism for logic rules. As in that work, a domain
expert first writes a set of logic rules that establishes the set of possible
events and other facts at each time $t$. Each possible event or other fact is
embedded using a neural architecture that is derived from the rules that
established it. Our only difference from Mei et al. (2020a) is that we derive a
flatter, attention-based neural architecture whereas they used a more serial
LSTM architecture. We find that our attention-based approach performs about
equally well on the RoboCup dataset, where the logic rules play an important
role in improving performance. We also compared these two methods with two
previous attention-based methods (Zuo et al., 2020; Zhang et al., 2020a) on
simpler synthetic and real domains without logic rules, and found our proposed
approach to be at least as good, and sometimes better, than each of the other
three methods.","['cs.LG', 'cs.AI', 'cs.LO']",2021-12-31,"['Chenghao Yang', 'Hongyuan Mei', 'Jason Eisner']"
19,Multi-Dimensional Model Compression of Vision Transformer,"Vision transformers (ViT) have recently attracted considerable attentions,
but the huge computational cost remains an issue for practical deployment.
Previous ViT pruning methods tend to prune the model along one dimension
solely, which may suffer from excessive reduction and lead to sub-optimal model
quality. In contrast, we advocate a multi-dimensional ViT compression paradigm,
and propose to harness the redundancy reduction from attention head, neuron and
sequence dimensions jointly. We firstly propose a statistical dependence based
pruning criterion that is generalizable to different dimensions for identifying
deleterious components. Moreover, we cast the multi-dimensional compression as
an optimization, learning the optimal pruning policy across the three
dimensions that maximizes the compressed model's accuracy under a computational
budget. The problem is solved by our adapted Gaussian process search with
expected improvement. Experimental results show that our method effectively
reduces the computational cost of various ViT models. For example, our method
reduces 40\% FLOPs without top-1 accuracy loss for DeiT and T2T-ViT models,
outperforming previous state-of-the-arts.","['cs.CV', 'cs.LG']",2021-12-31,"['Zejiang Hou', 'Sun-Yuan Kung']"
20,"Avoiding Catastrophe: Active Dendrites Enable Multi-Task Learning in
  Dynamic Environments","A key challenge for AI is to build embodied systems that operate in
dynamically changing environments. Such systems must adapt to changing task
contexts and learn continuously. Although standard deep learning systems
achieve state of the art results on static benchmarks, they often struggle in
dynamic scenarios. In these settings, error signals from multiple contexts can
interfere with one another, ultimately leading to a phenomenon known as
catastrophic forgetting. In this article we investigate biologically inspired
architectures as solutions to these problems. Specifically, we show that the
biophysical properties of dendrites and local inhibitory systems enable
networks to dynamically restrict and route information in a context-specific
manner. Our key contributions are as follows. First, we propose a novel
artificial neural network architecture that incorporates active dendrites and
sparse representations into the standard deep learning framework. Next, we
study the performance of this architecture on two separate benchmarks requiring
task-based adaptation: Meta-World, a multi-task reinforcement learning
environment where a robotic agent must learn to solve a variety of manipulation
tasks simultaneously; and a continual learning benchmark in which the model's
prediction task changes throughout training. Analysis on both benchmarks
demonstrates the emergence of overlapping but distinct and sparse subnetworks,
allowing the system to fluidly learn multiple tasks with minimal forgetting.
Our neural implementation marks the first time a single architecture has
achieved competitive results on both multi-task and continual learning
settings. Our research sheds light on how biological properties of neurons can
inform deep learning systems to address dynamic scenarios that are typically
impossible for traditional ANNs to solve.","['cs.NE', 'cs.AI', 'cs.LG', 'q-bio.NC']",2021-12-31,"['Abhiram Iyer', 'Karan Grewal', 'Akash Velu', 'Lucas Oliveira Souza', 'Jeremy Forest', 'Subutai Ahmad']"
21,"Stochastic convex optimization for provably efficient apprenticeship
  learning","We consider large-scale Markov decision processes (MDPs) with an unknown cost
function and employ stochastic convex optimization tools to address the problem
of imitation learning, which consists of learning a policy from a finite set of
expert demonstrations.
  We adopt the apprenticeship learning formalism, which carries the assumption
that the true cost function can be represented as a linear combination of some
known features. Existing inverse reinforcement learning algorithms come with
strong theoretical guarantees, but are computationally expensive because they
use reinforcement learning or planning algorithms as a subroutine. On the other
hand, state-of-the-art policy gradient based algorithms (like IM-REINFORCE,
IM-TRPO, and GAIL), achieve significant empirical success in challenging
benchmark tasks, but are not well understood in terms of theory. With an
emphasis on non-asymptotic guarantees of performance, we propose a method that
directly learns a policy from expert demonstrations, bypassing the intermediate
step of learning the cost function, by formulating the problem as a single
convex optimization problem over occupancy measures. We develop a
computationally efficient algorithm and derive high confidence regret bounds on
the quality of the extracted policy, utilizing results from stochastic convex
optimization and recent works in approximate linear programming for solving
forward MDPs.","['cs.LG', 'math.OC']",2021-12-31,"['Angeliki Kamoutsi', 'Goran Banjac', 'John Lygeros']"
22,REST API Fuzzing by Coverage Level Guided Blackbox Testing,"With the growth of web applications, REST APIs have become the primary
communication method between services. In order to ensure system reliability
and security, software quality can be assured by effective testing methods.
Black box fuzz testing is one of the effective methods to perform tests on a
large scale. However, conventional black box fuzz testing generates random data
without judging the quality of the input.
  We implement a black box fuzz testing method for REST APIs. It resolves the
issues of blind mutations without knowing the effectiveness by Test Coverage
Level feedback. We also enhance the mutation strategies by reducing the testing
complexity for REST APIs, generating more appropriate test cases to cover
possible paths.
  We evaluate our method by testing two large open-source projects and 89 bugs
are reported and confirmed. In addition, we find 351 bugs from 64 remote API
services in APIs.guru.
  The work is in https://github.com/iasthc/hsuan-fuzz.",['cs.SE'],2021-12-31,"['Chung-Hsuan Tsai', 'Shi-Chun Tsai', 'Shih-Kun Huang']"
23,Weakly Supervised Change Detection Using Guided Anisotropic Difusion,"Large scale datasets created from crowdsourced labels or openly available
data have become crucial to provide training data for large scale learning
algorithms. While these datasets are easier to acquire, the data are frequently
noisy and unreliable, which is motivating research on weakly supervised
learning techniques. In this paper we propose original ideas that help us to
leverage such datasets in the context of change detection. First, we propose
the guided anisotropic diffusion (GAD) algorithm, which improves semantic
segmentation results using the input images as guides to perform edge
preserving filtering. We then show its potential in two weakly-supervised
learning strategies tailored for change detection. The first strategy is an
iterative learning method that combines model optimisation and data cleansing
using GAD to extract the useful information from a large scale change detection
dataset generated from open vector data. The second one incorporates GAD within
a novel spatial attention layer that increases the accuracy of weakly
supervised networks trained to perform pixel-level predictions from image-level
labels. Improvements with respect to state-of-the-art are demonstrated on 4
different public datasets.","['eess.IV', 'cs.CV', 'cs.LG']",2021-12-31,"['Rodrigo Caye Daudt', 'Bertrand Le Saux', 'Alexandre Boulch', 'Yann Gousseau']"
24,Robust Entropy-regularized Markov Decision Processes,"Stochastic and soft optimal policies resulting from entropy-regularized
Markov decision processes (ER-MDP) are desirable for exploration and imitation
learning applications. Motivated by the fact that such policies are sensitive
with respect to the state transition probabilities, and the estimation of these
probabilities may be inaccurate, we study a robust version of the ER-MDP model,
where the stochastic optimal policies are required to be robust with respect to
the ambiguity in the underlying transition probabilities. Our work is at the
crossroads of two important schemes in reinforcement learning (RL), namely,
robust MDP and entropy regularized MDP. We show that essential properties that
hold for the non-robust ER-MDP and robust unregularized MDP models also hold in
our settings, making the robust ER-MDP problem tractable. We show how our
framework and results can be integrated into different algorithmic schemes
including value or (modified) policy iteration, which would lead to new robust
RL and inverse RL algorithms to handle uncertainties. Analyses on computational
complexity and error propagation under conventional uncertainty settings are
also provided.","['cs.LG', 'cs.AI']",2021-12-31,"['Tien Mai', 'Patrick Jaillet']"
25,"MRT-based Joint Unicast and Multigroup Multicast Transmission in Massive
  MIMO Systems","We study joint unicast and multigroup multicast transmission in single-cell
massive multiple-input-multiple-output (MIMO) systems, under maximum ratio
transmission. For the unicast transmission, the objective is to maximize the
weighted sum spectral efficiency (SE) of the unicast user terminals (UTs) and
for the multicast transmission the objective is to maximize the minimum SE of
the multicast UTs. These two problems are coupled to each other in a
conflicting manner, due to their shared power resource and interference. To
address this, we formulate a multiobjective optimization problem (MOOP). We
derive the Pareto boundary of the MOOP analytically and determine the values of
the system parameters to achieve any desired Pareto optimal point. Moreover, we
prove that the Pareto region is convex, hence the system should serve the
unicast and multicast UTs at the same time-frequency resource.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Meysam Sadeghi', 'Emil Björnson', 'Erik G. Larsson', 'Chau Yuen', 'Thomas L. Marzetta']"
26,"Centralized and Distributed Power Allocation for Max-Min Fairness in
  Cell-Free Massive MIMO","Cell-free Massive MIMO systems consist of a large number of geographically
distributed access points (APs) that serve users by coherent joint
transmission. Downlink power allocation is important in these systems, to
determine which APs should transmit to which users and with what power. If the
system is implemented correctly, it can deliver a more uniform user performance
than conventional cellular networks. To this end, previous works have shown how
to perform system-wide max-min fairness power allocation when using maximum
ratio precoding. In this paper, we first generalize this method to arbitrary
precoding, and then train a neural network to perform approximately the same
power allocation but with reduced computational complexity. Finally, we train
one neural network per AP to mimic system-wide max-min fairness power
allocation, but using only local information. By learning the structure of the
local propagation environment, this method outperforms the state-of-the-art
distributed power allocation method from the Cell-free Massive MIMO literature.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Sucharita Chakraborty', 'Emil Björnson', 'Luca Sanguinetti']"
27,"Calibrated Hyperspectral Image Reconstruction via Graph-based
  Self-Tuning Network","Recently, hyperspectral imaging (HSI) has attracted increasing research
attention, especially for the ones based on a coded aperture snapshot spectral
imaging (CASSI) system. Existing deep HSI reconstruction models are generally
trained on paired data to retrieve original signals upon 2D compressed
measurements given by a particular optical hardware mask in CASSI, during which
the mask largely impacts the reconstruction performance and could work as a
""model hyperparameter"" governing on data augmentations. This mask-specific
training style will lead to a hardware miscalibration issue, which sets up
barriers to deploying deep HSI models among different hardware and noisy
environments. To address this challenge, we introduce mask uncertainty for HSI
with a complete variational Bayesian learning treatment and explicitly model it
through a mask decomposition inspired by real hardware. Specifically, we
propose a novel Graph-based Self-Tuning (GST) network to reason uncertainties
adapting to varying spatial structures of masks among different hardware.
Moreover, we develop a bilevel optimization framework to balance HSI
reconstruction and uncertainty estimation, accounting for the hyperparameter
property of masks. Extensive experimental results and model discussions
validate the effectiveness (over 33/30 dB) of the proposed GST method under two
miscalibration scenarios and demonstrate a highly competitive performance
compared with the state-of-the-art well-calibrated methods. Our code and
pre-trained model are available at
https://github.com/Jiamian-Wang/mask_uncertainty_spectral_SCI","['eess.IV', 'cs.CV', 'cs.LG']",2021-12-31,"['Jiamian Wang', 'Yulun Zhang', 'Xin Yuan', 'Ziyi Meng', 'Zhiqiang Tao']"
28,"Human and Machine Type Communications can Coexist in Uplink Massive MIMO
  Systems","Future cellular networks are expected to support new communication paradigms
such as machine-type communication (MTC) services along with human-type
communication (HTC) services. This requires base stations to serve a large
number of devices in relatively short channel coherence intervals which renders
allocation of orthogonal pilot sequence per-device approaches impractical.
Furthermore, the stringent power constraints, place-and-play type connectivity
and various data rate requirements of MTC devices make it impossible for the
traditional cellular architecture to accommodate MTC and HTC services together.
Massive multiple-input-multiple-output (MaMIMO) technology has the potential to
allow the coexistence of HTC and MTC services, thanks to its inherent spatial
multiplexing properties and low transmission power requirements. In this work,
we investigate the performance of a single cell under a shared physical channel
assumption for MTC and HTC services and propose a novel scheme for sharing the
time-frequency resources. The analysis reveals that MaMIMO can significantly
enhance the performance of such a setup and allow the inclusion of MTC services
into the cellular networks without requiring additional resources.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Kamil Senel', 'Emil Björnson', 'Erik G. Larsson']"
