,title,abstract,categories,created,authors
10,"A note on the nuclear dimension of Cuntz-Pimsner $C^*$-algebras
  associated with minimal shift spaces","For every one-sided shift space $X$ over a finite alphabet, left special
elements are those points in $X$ having at least two preimages under the shift
operation. In this paper, we show that the Cuntz-Pimsner $C^*$-algebra
$\mathcal{O}_X$ has nuclear dimension 1 when $X$ is minimal and the number of
left special elements in $X$ is finite. This is done by describing thoroughly
the cover of $X$ which also recovers an exact sequence, discovered before by T.
Carlsen and S. Eilers.","['math.OA', 'math.DS']",2021-12-31,"['Zhuofeng He', 'Sihan Wei']"
11,"Approximate $K$-conjugacies and $C^*$-approximate conjugacies of minimal
  dynamical systems","In this article, we extend H. Matui and H. Lin's notions of approximate
$K$-conjugacies and $C^*$-strongly approximate conjugacies to general minimal
dynamical systems. In particular, upon modifying a result of the existence of
minimal skew products, we answer a question of H. Lin and show that, associated
with any Cantor minimal system $(K,\tilde{\alpha})$, there is a class
$R_0(\tilde{\alpha})$ of minimal skew products on $K\times\Omega$, such that
for any two rigid homeomorphisms $\alpha\in R_0(\tilde{\alpha})$ and $\beta\in
R_0(\tilde{\beta})$, the notions of approximate $K$-conjugacy and
$C^*$-strongly approximate conjugacy coincide, which are also equivalent to a
$K$-version of Tomiyama's commutative diagram, where $\Omega$ is an (infinite)
connected finite CW-complex with torsion free $K$-groups and the so-called
Lipschitz-minimal-property (LMP).","['math.DS', 'math.OA']",2021-12-31,['Sihan Wei']
12,"Asymptotic expansion for the solution of a convection-diffusion problem
  in a thin graph-like junction","A steady-state convection-diffusion problem with a small diffusion of order
$\mathcal{O}(\varepsilon)$ is considered in a thin three-dimensional graph-like
junction consisting of thin cylinders connected through a domain (node) of
diameter $\mathcal{O}(\varepsilon),$ where $\varepsilon$ is a small parameter.
Using multiscale analysis, the asymptotic expansion for the solution is
constructed and justified. The asymptotic estimates in the norm of Sobolev
space $H^1$ as well as in the uniform norm are proved for the difference
between the solution and proposed approximations with a predetermined accuracy
with respect to the degree of $\varepsilon$.",['math.AP'],2021-12-31,"[""Taras A. Mel'nyk"", 'Arsen V. Klevtsovskiy']"
13,"On isometric minimal immersion of a singular non-CSC extremal
  K$\ddot{a}$hler metric into 3-dimensional space forms","On any compact Riemann surface there always exists a singular non-CSC
(constant scalar curvature) extremal K$\ddot{a}$hler metric which is called a
non-CSC HCMU (the Hessian of the Curvature of the Metric is Umbilical) metric.
In this paper, by moving frames, we show that any non-CSC HCMU metric can not
be isometrically minimal immersed into 3-dimensional real space forms even
locally. In general, any non-CSC HCMU metric can not be isometrically immersed
into 3-dimensional real space forms with constant mean curvature (CMC).",['math.DG'],2021-12-31,"['Zhiqiang Wei', 'Yingyi Wu']"
14,"Exactly solvable lattice models for interacting electronic insulators in
  two dimensions","In the past decade, tremendous efforts have been made towards understanding
fermionic symmetry protected topological (FSPT) phases in interacting systems.
Nevertheless, for systems with continuum symmetry, e.g., electronic insulators,
it is still unclear how to construct an exactly solvable model with a finite
dimensional Hilbert space in general. In this paper, we give a lattice model
construction and classification for 2D interacting electronic insulators. Based
on the physical picture of $\mathrm{U(1)}_f$-charge decorations, we illustrate
the key idea by considering the well known 2D interacting topological
insulator. Then we generalize our construction to an arbitrary 2D interacting
electronic insulator with symmetry $G_f=\mathrm{U(1)}_f
\rtimes_{\rho_1,\omega_2} G$, where $\mathrm{U(1)}_f$ is the charge
conservation symmetry and $\rho_1, \omega_2$ are additional data which fully
characterize the group structure of $G_f$. Finally we study more examples,
including the full interacting classification of 2D crystalline topological
insulators.","['cond-mat.str-el', 'hep-th', 'math-ph', 'math.MP']",2021-12-31,"['Qing-Rui Wang', 'Yang Qi', 'Chen Fang', 'Meng Cheng', 'Zheng-Cheng Gu']"
15,"Non-Linear Age of Information: An Energy Efficient Receiver-Centric
  Approach","The age of information (AoI) performance metric for point-to-point wireless
communication systems is analytically studied under Rician-faded channels and
when the receiver is equipped with multiple antennas. The general scenario of a
non-linear AoI function is considered, which includes the conventional linear
AoI as a special case. The stop-and-wait transmission policy is adopted, where
the source node samples and then transmits new data only upon the successful
reception of previous data. This approach can serve as a performance benchmark
for any queuing system used in practice. New analytical and closed-form
expressions are derived with respect to the average AoI and average peak AoI
for the considered system configuration. We particularly focus on the energy
efficiency of the said mode of operation, whereas some useful engineering
insights are provided.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Nikolaos I. Miridakis', 'Theodoros A. Tsiftsis', 'Guanghua Yang']"
16,"MRT-based Joint Unicast and Multigroup Multicast Transmission in Massive
  MIMO Systems","We study joint unicast and multigroup multicast transmission in single-cell
massive multiple-input-multiple-output (MIMO) systems, under maximum ratio
transmission. For the unicast transmission, the objective is to maximize the
weighted sum spectral efficiency (SE) of the unicast user terminals (UTs) and
for the multicast transmission the objective is to maximize the minimum SE of
the multicast UTs. These two problems are coupled to each other in a
conflicting manner, due to their shared power resource and interference. To
address this, we formulate a multiobjective optimization problem (MOOP). We
derive the Pareto boundary of the MOOP analytically and determine the values of
the system parameters to achieve any desired Pareto optimal point. Moreover, we
prove that the Pareto region is convex, hence the system should serve the
unicast and multicast UTs at the same time-frequency resource.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Meysam Sadeghi', 'Emil Björnson', 'Erik G. Larsson', 'Chau Yuen', 'Thomas L. Marzetta']"
17,Characterization of rectifiability via Lusin type approximation,"We prove that a Radon measure $\mu$ on $\mathbb{R}^n$ can be written as
$\mu=\sum_{i=0}^n\mu_i$, where each of the $\mu_i$ is an $i$-dimensional
rectifiable measure if and only if for every Lipschitz function
$f:\mathbb{R}^n\to\mathbb{R}$ and every $\varepsilon>0$ there exists a function
$g$ of class $C^1$ such that $\mu(\{x\in\mathbb{R}^n:g(x)\neq
f(x)\})<\varepsilon$.",['math.CA'],2021-12-31,"['Andrea Marchese', 'Andrea Merlo']"
18,"Approximate controllability of non-autonomous second order impulsive
  functional evolution equations in Banach spaces","This article investigates the approximate controllability of second order
non-autonomous functional evolution equations involving non-instantaneous
impulses and nonlocal conditions. First, we discuss the approximate
controllability of second order linear system in detail, which lacks in the
existing literature. Then, we derive sufficient conditions for approximate
controllability of our system in separable reflexive Banach spaces via linear
evolution operator, resolvent operator conditions, and Schauder's fixed point
theorem. Moreover, in this paper, we define proper identification of resolvent
operator in Banach spaces. Finally, we verify our results to examine the
approximate controllability of the non-autonomous wave equation with
non-instantaneous impulses and finite delay in the application section.",['math.OC'],2021-12-31,"['Sumit Arora', 'Soniya Singh', 'Manil T. Mohan', 'Jaydev Dabas']"
19,hybrid subconvexity bounds for twists of $\rm GL(3)$ $L$-functions,"Let $\pi$ be a $SL(3,\mathbb Z)$ Hecke-Maass cusp form and $\chi$ a primitive
Dirichlet character of prime power conductor $\mathfrak{q}=p^k$ with $p$ prime.
In this paper we will prove the following subconvexity bound $$
L\left(\frac{1}{2}+it,\pi\times \chi\right)\ll_{\pi,\varepsilon}
p^{3/4}\big(\mathfrak{q}(1+|t|)\big)^{3/4-3/40+\varepsilon}, $$ for any
$\varepsilon >0$ and $t \in \mathbb{R}$.",['math.NT'],2021-12-31,"['Xin Wang', 'Tengyou Zhu']"
20,"$H^2$-Optimal Reduction of Positive Networks using Riemannian Augmented
  Lagrangian Method","In this study, we formulate the model reduction problem of a stable and
positive network system as a constrained Riemannian optimization problem with
the $H^2$-error objective function of the original and reduced network systems.
We improve the reduction performance of the clustering-based method, which is
one of the most known methods for model reduction of positive network systems,
by using the output of the clustering-based method as the initial point for the
proposed method. The proposed method reduces the dimension of the network
system while preserving the properties of stability, positivity, and
interconnection structure by applying the Riemannian augmented Lagrangian
method (RALM) and deriving the Riemannian gradient of the Lagrangian. To check
the efficiency of our method, we conduct a numerical experiment and compare it
with the clustering-based method in the sense of $H^2$-error and
$H^\infty$-error.","['math.OC', 'cs.SY', 'eess.SY']",2021-12-31,"['Sota Misawa', 'Kazuhiro Sato']"
21,"Channel Estimation for Hybrid Massive MIMO Systems with
  Adaptive-Resolution ADCs","Achieving high channel estimation accuracy and reducing hardware cost as well
as power dissipation constitute substantial challenges in the design of massive
multiple-input multiple-output (MIMO) systems. To resolve these difficulties,
sophisticated pilot designs have been conceived for the family of
energy-efficient hybrid analog-digital (HAD) beamforming architecture relying
on adaptive-resolution analog-to-digital converters (RADCs). In this paper, we
jointly optimize the pilot sequences, the number of RADC quantization bits and
the hybrid receiver combiner in the uplink of multiuser massive MIMO systems.
We solve the associated mean square error (MSE) minimization problem of channel
estimation in the context of correlated Rayleigh fading channels subject to
practical constraints. The associated mixed-integer problem is quite
challenging due to the nonconvex nature of the objective function and of the
constraints. By relying on advanced fractional programming (FP) techniques, we
first recast the original problem into a more tractable yet equivalent form,
which allows the decoupling of the fractional objective function. We then
conceive a pair of novel algorithms for solving the resultant problems for
codebook-based and codebook-free pilot schemes, respectively. To reduce the
design complexity, we also propose a simplified algorithm for the
codebook-based pilot scheme. Our simulation results confirm the superiority of
the proposed algorithms over the relevant state-of-the-art benchmark schemes.","['cs.IT', 'eess.SP', 'math.IT']",2021-12-31,"['Yalin Wang', 'Xihan Chen', 'Yunlong Cai', 'Benoit Champagne', 'Lajos Hanzo']"
22,"The extremality of 2-partite Tur\'an graphs with respect to the number
  of colorings","We consider a problem proposed by Linial and Wilf to determine the structure
of graphs that allows the maximum number of $q$-colorings among graphs with $n$
vertices and $m$ edges. Let $T_r(n)$ denote the Tur\'{a}n graph - the complete
$r$-partite graph on $n$ vertices with partition sizes as equal as possible. We
prove that for all odd integers $q\geq 5$ and sufficiently large $n$, the
Tur\'{a}n graph $T_2(n)$ has at least as many $q$-colorings as any other graph
$G$ with the same number of vertices and edges as $T_2(n)$, with equality
holding if and only if $G=T_2(n)$. Our proof builds on methods by Norine and
methods by Loh, Pikhurko, and Sudakov, which reduces the problem to a quadratic
program.",['math.CO'],2021-12-31,['Melissa M Fuentes']
23,A survey on frame representations via dynamical sampling,"Dynamical sampling deals with representations of a frame $\{ f_k
\}_{k=1}^\infty$ as an orbit $\{ T^n \varphi \}_{n=0}^\infty$ of a linear and
possibly bounded operator $T$ acting on the underlying Hilbert space. It is
known that the desire of boundedness of the operator $T$ puts severe
restrictions on the frame $\{ f_k \}_{k=1}^\infty$. The purpose of the paper is
to present an overview of the results in the literature and also discuss
various alternative ways of representing a frame; in particular the class of
considered frames can be enlarged drastically by allowing representations using
only a subset $\{ T^{\alpha(k)} \varphi\}^\infty_{k=1}$ of the operator orbit
$\{ T^n \varphi \}_{n=0}^\infty$. In general it is difficult to specify
appropriate values for the scalars $\alpha(k)$ and the vector $\varphi;$
however, by accepting an arbitrarily small and controllable deviation between
the given frame $\{ f_k \}_{k=1}^\infty$ and $\{ T^{\alpha(k)}
\varphi\}_{k=1}^\infty$ we will be able to do so.",['math.FA'],2021-12-31,"['Ole Christensen', 'Marzieh Hasannasab']"
24,"Stochastic convex optimization for provably efficient apprenticeship
  learning","We consider large-scale Markov decision processes (MDPs) with an unknown cost
function and employ stochastic convex optimization tools to address the problem
of imitation learning, which consists of learning a policy from a finite set of
expert demonstrations.
  We adopt the apprenticeship learning formalism, which carries the assumption
that the true cost function can be represented as a linear combination of some
known features. Existing inverse reinforcement learning algorithms come with
strong theoretical guarantees, but are computationally expensive because they
use reinforcement learning or planning algorithms as a subroutine. On the other
hand, state-of-the-art policy gradient based algorithms (like IM-REINFORCE,
IM-TRPO, and GAIL), achieve significant empirical success in challenging
benchmark tasks, but are not well understood in terms of theory. With an
emphasis on non-asymptotic guarantees of performance, we propose a method that
directly learns a policy from expert demonstrations, bypassing the intermediate
step of learning the cost function, by formulating the problem as a single
convex optimization problem over occupancy measures. We develop a
computationally efficient algorithm and derive high confidence regret bounds on
the quality of the extracted policy, utilizing results from stochastic convex
optimization and recent works in approximate linear programming for solving
forward MDPs.","['cs.LG', 'math.OC']",2021-12-31,"['Angeliki Kamoutsi', 'Goran Banjac', 'John Lygeros']"
25,Introducing DASEP: the doubly asymmetric simple exclusion process,"Research in combinatorics has often explored the asymmetric simple exclusion
process (ASEP). The ASEP, inspired by examples from statistical mechanics,
involves particles of various species moving around a lattice. With the
traditional ASEP particles of a given species can move but do not change
species. In this paper a new combinatorial formalism, the DASEP (doubly
asymmetric simple exclusion process), is explored. The DASEP is inspired by
biological processes where, unlike the ASEP, the particles can change from one
species to another. The combinatorics of the DASEP on a one dimensional lattice
are explored, including the associated generating function. The stationary
probabilities of the DASEP are explored, and results are proven relating these
stationary probabilities to those of the simpler ASEP.",['math.CO'],2021-12-31,['David W. Ash']
26,New second-order optimality conditions in sub-Riemannian Geometry,"We study the geometry of the second-order expansion of the extended end-point
map for the sub-Riemannian geodesic problem. Translating the geometric reality
into equations we derive new second-order necessary optimality conditions in
sub-Riemannian Geometry. In particular, we find an ODE for velocity of an
abnormal sub-Riemannian geodesics. It allows to divide abnormal minimizers into
two classes, which we propose to call 2-normal and 2-abnormal extremals. In the
2-normal case the above ODE completely determines the velocity of a curve,
while in the 2-abnormal case the velocity is undetermined at some, or at all
points. With some enhancement of the presented results it should be possible to
prove the regularity of all 2-normal extremals (the 2-abnormal case seems to
require study of higher-order conditions) thus making a step towards solving
the problem of smoothness of sub-Riemannian abnormal geodesics.
  As a by-product we present a new derivation of Goh conditions.","['math.DG', 'math.OC']",2021-12-31,['Michał Jóźwikowski']
27,Stated SL(n)-Skein Modules and Algebras,"We develop a theory of stated SL(n)-skein modules, $S_n(M,\mathcal N),$ of
3-manifolds $M$ marked with intervals $\mathcal N$ in their boundaries. They
consist of linear combinations of $n$-webs with ends in $\mathcal N$,
considered up to skein relations inspired by the relations of the
Reshetikhin-Turaev theory.
  We prove that cutting $M$ along a disk resulting in a $3$-manifold $M'$
yields a homomorphism $S_n(M)\to S_n(M')$. That result allows to analyze the
skein modules of $3$-manifolds through the skein modules of their pieces.
  The theory of stated skein modules is particularly rich for thickened
surfaces $M=\Sigma \times (-1,1),$ in whose case, $S_n(M)$ is an algebra,
denoted by $S_n(\Sigma).$ We prove that the skein algebra of the ideal bigon is
$O_q(SL(n))$ and that it provides simple geometric interpretations of the
product, coproduct, counit, the antipode, and the cobraided structure on
$O_q(SL(n)).$
  Additionally, we show that a splitting of a thickened bigon near a marking
defines a $O_q(SL(n))$-comodule structure on $S_n(M),$ or dually, an
$U_q(sl_n)$-module structure. Furthermore, we show that the skein algebra of
surfaces $\Sigma_1, \Sigma_2$ glued along two sides of a triangle is isomorphic
with the braided tensor product $S_n(\Sigma_1)\underline{\otimes}
S_n(\Sigma_2)$ of Majid. These results allow for a geometric interpretation of
further concepts in the theory of quantum groups, for example, of the braided
products and of Majid's transmutation operation.
  We prove that the factorization homology of surfaces with coefficients in
$Rep\, U_q(sl_n)$ is equivalent to the category of left modules over
$S_n(\Sigma)$. We also discuss the relation with the quantum moduli spaces of
Alekseev-Schomerus.
  Finally, we show that for surfaces $\Sigma$ with boundary, $S_n(\Sigma)$ is a
free module with a basis induced from the Kashiwara-Lusztig canonical bases.","['math.QA', 'math.GT']",2021-12-31,"['Thang T. Q. Lê', 'Adam S. Sikora']"
28,"Identifying the preschool home learning experiences that predict early
  number skills: Evidence from a longitudinal study","This study examines the longitudinal relationships between home learning
experiences and early number skills. The counting, number transcoding and
calculation skills of 274 children were assessed in the penultimate term of
preschool (Mage=4:0). Prior to these assessments, parents completed
questionnaires that surveyed the frequency of the children's home learning
experiences. Three types of experiences were indexed: code-focused home
literacy experiences that focus on the phonological and orthographic features
of language, meaning-focused home literacy experiences that focus on sharing
the meaning of language and text, and home number experiences. The children's
language abilities (phonological awareness and vocabulary) and nonverbal
abilities (inhibitory control and nonverbal reasoning) were assessed in the
final term of preschool (Mage=4:3). Their number skills were reassessed in the
final term of the first year of primary school (Mage=5:3). Home letter-sound
interaction experiences (interactive code-focused literacy experiences) had
significant longitudinal relationships with counting and number transcoding
that were independent of language and nonverbal abilities. The relationship
between letter-sound interaction experiences and later counting was also
independent of the autoregressive influence of baseline counting ability. We
extend previous findings by demonstrating that interactive code-focused home
literacy experiences in the preschool period predict growth in counting skills
even when a broad range of language and cognitive abilities are controlled.",['math.HO'],2021-12-31,"['Elena Soto-Calvo', 'Fiona R. Simmons', 'Anne-Marie Adams', 'Hannah N. Francis', 'Hannah Patel', 'David Giofrè']"
29,"On pointwise Malliavin differentiability of solutions to semilinear
  parabolic SPDEs","We obtain estimates on the first-order Malliavin derivative of mild
solutions, evaluated at fixed points in time and space, to a class of parabolic
dissipative stochastic PDEs on bounded domain of $\mathbb{R}^d$. In particular,
such equations are driven by multiplicative Wiener noise and the nonlinear
drift term is the superposition operator associated to a locally Lipschitz
continuous function satisfying suitable polynomial growth bounds. The main
arguments rely on the well-posedness theory in the mild sense for stochastic
evolution equations in Banach spaces, monotonicity, and a comparison principle.","['math.PR', 'math.AP']",2021-12-31,['Carlo Marinelli']
30,"HS-integral and Eisenstein integral mixed Cayley graphs over abelian
  groups","A mixed graph is called \emph{second kind hermitian integral}(or
\emph{HS-integral}) if the eigenvalues of its Hermitian-adjacency matrix of
second kind are integers. A mixed graph is called \emph{Eisenstein integral} if
the eigenvalues of its (0, 1)-adjacency matrix are Eisenstein integers. Let
$\Gamma$ be an abelian group. We characterize the set $S$ for which a mixed
Cayley graph $\text{Cay}(\Gamma, S)$ is HS-integral. We also show that a mixed
Cayley graph is Eisenstein integral if and only if it is HS-integral.",['math.CO'],2021-12-31,"['Monu Kadyan', 'Bikash Bhattacharjya']"
31,Optimal Representations for Covariate Shift,"Machine learning systems often experience a distribution shift between
training and testing. In this paper, we introduce a simple variational
objective whose optima are exactly the set of all representations on which risk
minimizers are guaranteed to be robust to any distribution shift that preserves
the Bayes predictor, e.g., covariate shifts. Our objective has two components.
First, a representation must remain discriminative for the task, i.e., some
predictor must be able to simultaneously minimize the source and target risk.
Second, the representation's marginal support needs to be the same across
source and target. We make this practical by designing self-supervised learning
methods that only use unlabelled data and augmentations to train robust
representations. Our objectives achieve state-of-the-art results on DomainBed,
and give insights into the robustness of recent methods, such as CLIP.","['cs.LG', 'cs.AI', 'cs.IT', 'math.IT', 'stat.ML']",2021-12-31,"['Yangjun Ruan', 'Yann Dubois', 'Chris J. Maddison']"
32,"Reduction of path integrals for interacting systems: The case of using
  dependent coordinates in the description of reduced motion on the orbit space","The reduction procedure in Wiener path integrals for a finite-dimensional
mechanical system with symmetry representing the motion of two interacting
scalar particles on a manifold, which is the product of the total space of the
principal fiber bundle and a vector space, is considered for the case of using
dependent coordinates when describing the reduced motion on the orbit space.
The factorization of the measure in the path integral, which is necessary for
the reduction, was based on the application of a nonlinear filtration equation
from the theory of stochastic processes. The non-invariance of the measure in
the path integral under the reduction is shown. The Jacobian of the reduction
is expressed in terms of the mean curvature of the orbit in the principal fiber
bundle.","['math-ph', 'math.DG', 'math.MP', 'math.PR']",2021-12-31,['S. N. Storchak']
33,Non Abelian dual of the resolved conifold gauged linear sigma model,"We consider a U(1) Gauged Linear Sigma Model (GLSM) with (2,2) supersymmetry,
leading to a susy vacua of the resolved conifold. It possesses the non-Abelian
global symmetry SU(2)xSU(2). A non-Abelian T-duality can be constructed which
can be described by gauging the global non-Abelian symmetry. This leads to a
dual action, in terms of the dual model Kaehler and superpotential terms, which
include twisted chiral superfields dependence. Comparing the effective
potentials for the U(1) fields on the original and the dual models we determine
the instanton corrections to the dual action. We obtain the supersymmetry vacua
solution of the dual model, in three cases: first in an Abelian direction
inside SU(2)xSU(2), then for an Abelian direction considering instanton
corrections and finally for a semi-chiral non Abelian vector superfield. The
dual geometry for all of these cases (SUSY vacua space) is given by T5xR.
However the instanton corrections restrict the Fayet-Iliopoulos term to be zero
and fix the theta-term, which implies that the duality is established for the
case of the singular conifold. We also discuss the U(1)A R-symmetry in the dual
model and its possible role.","['hep-th', 'math-ph', 'math.MP']",2021-12-31,"['Nana Geraldine Cabo Bizet', 'Yulier Jiménez Santana', 'Roberto Santos Silva']"
